id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
3381395,4234438.0,8400.0,8400.0,8400.0, 36 months, 17.27%,300.62,C,C5,PrideStaff/Memorial Medical Hospital,5 years,RENT,38000.0,Not Verified,Feb-2013,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=3381395,,debt_consolidation,Debt Consolidation,953xx,CA,16.48,0.0,Oct-2003,665.0,669.0,0.0,,,8.0,0.0,8445.0,55.9%,12.0,f,0.0,0.0,8717.98,8717.98,6395.7,2308.36,0.0,13.92,2.5056000067,Jul-2015,300.62,,Dec-2016,514.0,510.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,14951.0,,,,,,,,,,,,15100.0,,,,4.0,1869.0,623.0,83.6,0.0,0.0,34.0,114.0,4.0,4.0,0.0,17.0,,13.0,,0.0,1.0,6.0,2.0,4.0,2.0,7.0,10.0,6.0,8.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,21792.0,14951.0,3800.0,6692.0
5615136,6997321.0,10200.0,10200.0,10200.0, 36 months, 10.16%,329.9,B,B1,INMED PARTNERSHIP FOR CHILDREN,5 years,RENT,40000.0,Not Verified,Jun-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=5615136,,debt_consolidation,DEBTS CONSOLIDATION,201xx,VA,25.08,0.0,Sep-1999,680.0,684.0,0.0,30.0,,8.0,0.0,14824.0,55.3%,17.0,f,0.0,0.0,11840.590001,11840.59,10200.0,1640.59,0.0,0.0,0.0,Mar-2016,481.76,,Dec-2016,769.0,765.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,14824.0,,,,,,,,,,,,26800.0,,,,3.0,1853.0,9849.0,54.8,0.0,0.0,133.0,167.0,16.0,16.0,0.0,16.0,30.0,14.0,30.0,0.0,5.0,6.0,6.0,13.0,1.0,8.0,16.0,6.0,8.0,0.0,0.0,0.0,0.0,94.0,33.3,0.0,0.0,26800.0,14824.0,21800.0,0.0
1145897,1386606.0,13250.0,13250.0,13250.0, 36 months, 17.99%,478.96,D,D2,"Clifford Law Offices, P.C.",10+ years,MORTGAGE,79000.0,Source Verified,Feb-2012,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1145897,  Borrower added on 02/10/12 > Pay off lines of credit used for medical expenses.<br>,debt_consolidation,Debt Consolidation Loan,606xx,IL,21.62,0.0,Jan-1987,665.0,669.0,2.0,30.0,,13.0,0.0,28830.0,68.6%,37.0,f,0.0,0.0,14200.5466474,14200.55,13250.0,950.55,0.0,0.0,0.0,Jul-2012,12287.92,,Dec-2016,734.0,730.0,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1476967,1734595.0,3825.0,3825.0,3825.0, 36 months,  8.90%,121.46,A,A5,Living Word Christian Center,2 years,MORTGAGE,54000.0,Verified,Aug-2012,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1476967,"  Borrower added on 08/18/12 > Trying to consolidate 2 credit cards, each at 29.9% interest.<br>",credit_card,Credit card refinancing,605xx,IL,21.91,0.0,Sep-2001,700.0,704.0,0.0,54.0,,10.0,0.0,9329.0,56.5%,38.0,f,0.0,0.0,4358.24999915,4358.25,3825.0,533.25,0.0,0.0,0.0,Apr-2015,126.67,,Dec-2016,549.0,545.0,0.0,54.0,1.0,INDIVIDUAL,,,,0.0,328.0,275583.0,,,,,,,,,,,,16500.0,,,,4.0,30620.0,2117.0,69.8,0.0,0.0,125.0,110.0,15.0,15.0,6.0,22.0,,15.0,,1.0,2.0,3.0,2.0,7.0,21.0,5.0,11.0,3.0,10.0,0.0,0.0,0.0,0.0,94.0,50.0,0.0,0.0,292611.0,30572.0,7000.0,25145.0
4537143,5779429.0,6800.0,6800.0,6800.0, 36 months,  8.90%,215.93,A,A5,State of Texas,6 years,RENT,54000.0,Source Verified,Apr-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=4537143,"  Borrower added on 04/24/13 > This loan will help me knock out my credit card debt.  I've paid more than 60% off over the last 2 years, and this will help me pay off the rest more quickly and with a much lower interest rate.<br>",credit_card,Credit Card payoff,787xx,TX,12.29,0.0,Nov-2004,750.0,754.0,0.0,,,9.0,0.0,6806.0,32.1%,30.0,f,0.0,0.0,7686.96000089,7686.96,6800.0,886.96,0.0,0.0,0.0,Aug-2015,1990.95,,Jul-2015,709.0,705.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,41662.0,,,,,,,,,,,,21200.0,,,,5.0,5208.0,11949.0,36.1,0.0,0.0,103.0,81.0,18.0,8.0,0.0,18.0,,,,0.0,3.0,4.0,4.0,6.0,20.0,6.0,10.0,4.0,9.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,65796.0,41662.0,18700.0,44596.0
3594754,4526915.0,24000.0,24000.0,23950.0, 60 months, 13.11%,547.43,B,B4,Holder Construction Company,7 years,RENT,94000.0,Source Verified,Mar-2013,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=3594754,,credit_card,Restructuring,239xx,VA,18.26,1.0,May-1987,690.0,694.0,0.0,21.0,,12.0,0.0,23203.0,82.9%,22.0,f,7536.43,7520.73,24633.25,24581.93,16463.57,8169.68,0.0,0.0,0.0,Dec-2016,547.43,Jan-2017,Dec-2016,719.0,715.0,0.0,30.0,1.0,INDIVIDUAL,,,,0.0,0.0,45016.0,,,,,,,,,,,,28000.0,,,,1.0,5002.0,2667.0,89.6,0.0,0.0,138.0,314.0,9.0,9.0,0.0,9.0,,11.0,21.0,1.0,4.0,5.0,5.0,13.0,4.0,9.0,18.0,5.0,12.0,0.0,0.0,0.0,1.0,90.0,100.0,0.0,0.0,91983.0,45016.0,25700.0,63983.0
9188792,11020700.0,10000.0,10000.0,10000.0, 60 months, 18.55%,256.94,D,D2,Mechanic ,3 years,RENT,42000.0,Verified,Dec-2013,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=9188792,,debt_consolidation,Bills Paid ,664xx,KS,29.17,0.0,Feb-2002,690.0,694.0,0.0,,,6.0,0.0,5326.0,87.3%,12.0,f,5119.06,5119.06,9249.76,9249.76,4880.94,4368.82,0.0,0.0,0.0,Dec-2016,256.94,Jan-2017,Dec-2016,664.0,660.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,21021.0,,,,,,,,,,,,6100.0,,,,3.0,3504.0,774.0,87.3,0.0,0.0,142.0,105.0,1.0,1.0,0.0,1.0,,12.0,,0.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,0.0,0.0,0.0,2.0,100.0,80.0,0.0,0.0,43987.0,21021.0,6100.0,37887.0
3094853,3767038.0,30000.0,30000.0,30000.0, 60 months, 13.11%,684.29,B,B4,Bay Valley Foods,1 year,MORTGAGE,120000.0,Verified,Jan-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=3094853,,debt_consolidation,Debt Cons,917xx,CA,23.75,0.0,May-1992,720.0,724.0,0.0,,,13.0,0.0,53672.0,71.8%,29.0,f,0.0,0.0,38046.9899928,38046.99,30000.0,8046.99,0.0,0.0,0.0,Jul-2015,18202.94,,Jul-2015,744.0,740.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,601048.0,,,,,,,,,,,,74800.0,,,,0.0,50087.0,2388.0,94.4,0.0,0.0,148.0,251.0,25.0,25.0,5.0,44.0,,21.0,,0.0,3.0,7.0,4.0,9.0,3.0,10.0,20.0,7.0,13.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,654712.0,86308.0,42900.0,22787.0
5375479,6727694.0,10000.0,10000.0,10000.0, 36 months,  6.03%,304.36,A,A1,Michael Marketing Intl,10+ years,MORTGAGE,38000.0,Not Verified,May-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=5375479,,debt_consolidation,cc pay,183xx,PA,15.32,0.0,Oct-1991,765.0,769.0,0.0,60.0,,10.0,0.0,10091.0,21.2%,28.0,f,0.0,0.0,10953.3,10953.3,10000.0,953.3,0.0,0.0,0.0,Apr-2016,859.42,,Apr-2016,839.0,835.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,70822.0,,,,,,,,,,,,47700.0,,,,2.0,7869.0,36109.0,21.8,0.0,0.0,122.0,263.0,18.0,18.0,2.0,18.0,,12.0,,0.0,6.0,6.0,7.0,22.0,3.0,8.0,23.0,6.0,10.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,124698.0,21503.0,46200.0,16998.0
5085710,6408025.0,24375.0,24375.0,24375.0, 60 months, 22.95%,686.45,F,F1,Veterans Health Administration,3 years,MORTGAGE,85000.0,Source Verified,May-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=5085710,,debt_consolidation,Debt Consolidation,850xx,AZ,30.03,1.0,Feb-1997,660.0,664.0,0.0,1.0,91.0,25.0,1.0,18283.0,63.3%,35.0,f,0.0,0.0,36242.9599763,36242.96,24375.0,11867.96,0.0,0.0,0.0,Nov-2015,16335.91,,Nov-2015,719.0,715.0,0.0,,1.0,INDIVIDUAL,,,,1.0,0.0,360199.0,,,,,,,,,,,,28900.0,,,,4.0,15008.0,5040.0,72.3,0.0,206.0,156.0,198.0,3.0,3.0,2.0,3.0,,12.0,1.0,0.0,6.0,9.0,7.0,8.0,18.0,11.0,15.0,9.0,24.0,0.0,1.0,0.0,2.0,97.0,66.7,1.0,0.0,424716.0,129212.0,18200.0,143716.0
